"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.078583000E-1,9.092725813E-2,6.137589812E-1,9.882955551E0,9.902412750E0
3.103193420E-1,8.374879509E-2,6.041877270E-1,9.906884193E0,9.925644115E0
3.127804360E-1,1.076770201E-1,6.472585201E-1,9.870991707E0,9.892775910E0
3.152414770E-1,1.555334777E-1,6.616154313E-1,9.885348320E0,9.908684930E0
3.177025710E-1,1.339980662E-1,6.400800347E-1,9.894919395E0,9.916505825E0
3.201636130E-1,1.387837082E-1,6.233302951E-1,9.919147491E0,9.939682517E0
3.226247060E-1,1.387837082E-1,6.113662124E-1,9.923933029E0,9.943715419E0
3.250857480E-1,1.339980662E-1,6.568298340E-1,9.892526627E0,9.915213763E0
3.275468420E-1,1.339980662E-1,5.994020700E-1,9.923933029E0,9.942921356E0
3.300078830E-1,1.555334777E-1,5.946164131E-1,9.885348320E0,9.904436922E0
3.324689770E-1,1.411765367E-1,6.233302951E-1,9.882955551E0,9.903599441E0
3.349300710E-1,1.076770201E-1,6.185446382E-1,9.902098656E0,9.921983148E0
3.373923630E-1,1.268195957E-1,5.706881881E-1,9.916455269E0,9.933672700E0
3.398534560E-1,1.292124242E-1,6.233302951E-1,9.974182129E0,9.994475757E0
3.423145500E-1,1.603191197E-1,6.472585201E-1,9.938289642E0,9.960634861E0
3.447755920E-1,1.603191197E-1,6.352944374E-1,9.916455269E0,9.938077598E0
3.472366860E-1,1.555334777E-1,6.113662124E-1,9.859027863E0,9.879189729E0
3.496977270E-1,1.196411327E-1,6.448656917E-1,9.906884193E0,9.928570903E0
3.521588210E-1,1.627119333E-1,6.113662124E-1,9.935896873E0,9.956017803E0
3.546198630E-1,1.363908947E-1,6.305087805E-1,9.916455269E0,9.937415605E0
3.570809560E-1,8.135596663E-2,6.185446382E-1,9.943075180E0,9.962628182E0
3.595420500E-1,1.387837082E-1,6.137589812E-1,9.921540260E0,9.941474847E0
3.620030920E-1,1.387837082E-1,5.682953596E-1,9.926325798E0,9.943548883E0
3.644641860E-1,1.387837082E-1,5.994020700E-1,9.923933029E0,9.942987002E0
3.669244980E-1,1.483550072E-1,6.161518097E-1,9.923933029E0,9.944148985E0
3.693855400E-1,2.129612118E-1,6.041877270E-1,9.859027863E0,9.879819112E0
3.718466330E-1,2.563311160E-1,6.113662124E-1,9.794421196E0,9.816830489E0
3.743076750E-1,2.682952285E-1,5.778666735E-1,9.882955551E0,9.903470233E0
3.767687690E-1,1.555334777E-1,6.065805554E-1,9.921540260E0,9.941282199E0
3.792298630E-1,9.332008660E-2,6.209374666E-1,9.873384476E0,9.893330732E0
3.816909040E-1,1.339980662E-1,6.089733839E-1,9.887741089E0,9.907382495E0
3.841519460E-1,2.754737139E-1,5.922235847E-1,9.837491989E0,9.859151240E0
3.866130400E-1,2.682952285E-1,6.305087805E-1,9.803992271E0,9.827908634E0
3.890741330E-1,2.539383173E-1,5.946164131E-1,9.827920914E0,9.849166606E0
3.915351750E-1,2.539383173E-1,6.065805554E-1,9.801599503E0,9.823633617E0
3.939962690E-1,2.419741899E-1,6.089733839E-1,9.803992271E0,9.825867114E0
3.964617900E-1,2.249253243E-1,6.281159520E-1,9.851848602E0,9.874413498E0
3.989228830E-1,1.866401732E-1,5.730810165E-1,9.832706451E0,9.851160976E0
4.013839770E-1,2.201396823E-1,5.419743061E-1,9.842277527E0,9.859646269E0
4.038450190E-1,2.659024298E-1,5.874379873E-1,9.796813965E0,9.818011578E0
4.063061130E-1,2.392822653E-1,6.161518097E-1,9.820742607E0,9.842961161E0
4.087671540E-1,2.392822653E-1,6.329016089E-1,9.815957069E0,9.839249648E0
4.112282480E-1,2.392822653E-1,5.850451589E-1,9.832706451E0,9.853002081E0
4.136892900E-1,2.057827413E-1,6.041877270E-1,9.811170578E0,9.831910163E0
4.161503830E-1,1.842473447E-1,6.520441771E-1,9.823135376E0,9.846476390E0
