"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.130327879E0,-3.690239787E-2,-1.428729296E-2,-1.628961563E-1,1.676337420E-1
1.135284442E0,-2.012691647E-2,-9.349703789E-3,2.375125885E-2,3.250587677E-2
1.140241004E0,8.645251393E-3,-3.536111116E-2,8.293914795E-2,9.057621551E-2
1.145197567E0,-1.044049859E-2,-2.322423458E-2,9.887886047E-2,1.021048389E-1
1.150154129E0,-3.182038665E-2,-1.660466194E-3,-1.597023010E-2,3.564186308E-2
1.155110692E0,1.361977309E-2,-1.823291183E-2,-3.246879578E-2,3.965047278E-2
1.160069650E0,4.100881517E-3,-1.326218247E-2,-5.595684052E-2,5.765301999E-2
1.165026161E0,-1.256629452E-2,-2.028861642E-2,-1.125030518E-1,1.150064188E-1
1.169982775E0,-2.925114706E-2,-1.049819589E-2,-5.930805206E-2,6.695735031E-2
1.174939338E0,-5.879774690E-4,-5.617469549E-3,6.708812714E-2,6.732546683E-2
1.179895900E0,-2.965427935E-3,1.597702503E-3,9.265804291E-2,9.271925006E-2
1.184852463E0,4.104003310E-3,-1.980578899E-2,1.349449158E-2,2.431488071E-2
1.189774233E0,1.483172178E-3,-1.244711876E-2,-8.726119995E-4,1.256550902E-2
1.194730796E0,-1.286559179E-2,2.818581462E-2,-1.275062561E-2,3.350435869E-2
1.199687358E0,-8.888095617E-4,-5.316376686E-3,3.486824036E-2,3.528240396E-2
1.204643973E0,1.809019595E-2,-7.709383965E-3,2.507781982E-2,3.186827322E-2
1.209600536E0,1.062482595E-2,1.362112164E-2,-1.075744629E-2,2.035054132E-2
1.214557098E0,3.273434937E-3,1.824870706E-2,2.971839905E-2,3.502733115E-2
1.219534286E0,7.911115885E-3,2.288985252E-2,4.609775543E-2,5.207239344E-2
1.224490796E0,2.676114440E-2,1.564067602E-2,5.283641815E-2,6.125746223E-2
1.229447411E0,-1.635520905E-2,2.737760544E-2,8.328056335E-2,8.917779082E-2
1.234403973E0,-6.696410477E-3,-1.444816589E-3,4.695701599E-2,4.745409107E-2
1.239360536E0,-1.382065192E-2,3.178811073E-2,3.944015503E-2,5.250733503E-2
1.244317098E0,1.719945669E-2,1.723352075E-2,6.049346924E-2,6.520947299E-2
1.249267879E0,-2.336456627E-2,2.420705557E-2,8.612060547E-2,9.245887292E-2
1.254224442E0,-3.748686612E-2,5.487805605E-2,8.540344238E-2,1.082155910E-1
1.259181004E0,-6.272129714E-3,4.485663772E-2,4.668712616E-2,6.504725442E-2
1.264137567E0,1.288120449E-2,3.504836559E-2,2.253818512E-2,4.361517108E-2
1.269094129E0,3.159999847E-3,5.380252004E-2,-4.891681671E-2,7.278428208E-2
1.274050692E0,-1.360679045E-2,4.381629825E-2,-3.425312042E-2,5.725634460E-2
1.279031317E0,-1.352236047E-2,2.430611849E-2,2.542877197E-2,3.768639108E-2
1.283987827E0,-1.336081699E-2,1.691463590E-2,8.590698242E-3,2.320380215E-2
1.288944442E0,-3.468792513E-2,2.148881555E-2,4.415416718E-2,6.012164188E-2
1.293901004E0,-3.195375949E-2,2.364957333E-2,8.153915405E-3,4.058117052E-2
1.298857567E0,-6.254779547E-2,4.437863827E-3,-6.167411804E-3,6.300760527E-2
